id,user_id,created_at,updated_at,start,end,timezone_offset,sport_id,score_state,score.strain,score.average_heart_rate,score.max_heart_rate,score.kilojoule,score.percent_recorded,score.distance_meter,score.altitude_gain_meter,score.altitude_change_meter,score.zone_duration.zone_zero_milli,score.zone_duration.zone_one_milli,score.zone_duration.zone_two_milli,score.zone_duration.zone_three_milli,score.zone_duration.zone_four_milli,score.zone_duration.zone_five_milli,score
580488937,96842,2023-01-07T22:18:48.193Z,2023-01-07T22:18:53.805Z,2023-01-07T21:17:01.775Z,2023-01-07T21:50:21.285Z,-06:00,0,SCORED,13.836,165.0,182.0,2114.4062,100.0,0.0,0.0,0.0,6729.0,22149.0,10575.0,113436.0,1644785.0,201875.0,
579891989,96842,2023-01-07T03:50:10.266Z,2023-01-07T03:50:16.155Z,2023-01-07T02:02:29.711Z,2023-01-07T03:09:39.524Z,-06:00,-1,SCORED,11.1104,132.0,151.0,2415.1543,100.0,0.0,0.0,0.0,125932.0,209603.0,1779389.0,1914928.0,0.0,0.0,
578517152,96842,2023-01-05T02:26:16.115Z,2023-01-05T02:26:21.607Z,2023-01-05T01:19:56.280Z,2023-01-05T01:43:36.090Z,-06:00,0,SCORED,12.2821,164.0,193.0,1476.7211,100.0,0.0,0.0,0.0,0.0,27917.0,24994.0,155731.0,992989.0,218218.0,
577125404,96842,2023-01-03T02:11:29.855Z,2023-01-03T02:11:35.466Z,2023-01-03T01:12:52.568Z,2023-01-03T01:43:21.941Z,-06:00,0,SCORED,11.4711,148.0,186.0,1517.3179,100.0,0.0,0.0,0.0,0.0,108666.0,498921.0,381641.0,745975.0,94209.0,
571123490,96842,2022-12-23T22:32:01.622Z,2022-12-23T22:32:07.248Z,2022-12-23T21:30:12.337Z,2022-12-23T22:00:20.545Z,-05:00,0,SCORED,11.2245,146.0,183.0,1421.7262,100.0,0.0,0.0,0.0,0.0,191340.0,522952.0,253784.0,784413.0,55758.0,
569447245,96842,2022-12-21T02:43:24.213Z,2022-12-21T02:43:29.884Z,2022-12-21T01:40:14.726Z,2022-12-21T02:16:35.894Z,-06:00,0,SCORED,12.9187,156.0,182.0,2034.2252,100.0,0.0,0.0,0.0,26955.0,9613.0,64408.0,745017.0,1287147.0,48066.0,
568229322,96842,2022-12-19T00:56:19.198Z,2022-12-19T00:56:24.801Z,2022-12-18T23:57:10.723Z,2022-12-19T00:30:28.311Z,-06:00,0,SCORED,13.3025,162.0,189.0,1997.0267,100.0,0.0,0.0,0.0,0.0,0.0,114435.0,304735.0,1387159.0,191298.0,
566571600,96842,2022-12-16T02:32:03.244Z,2022-12-16T02:32:08.903Z,2022-12-16T01:07:18.719Z,2022-12-16T01:50:27.527Z,-06:00,0,SCORED,13.6098,156.0,181.0,2418.25,100.0,0.0,0.0,0.0,21187.0,12497.0,44219.0,957465.0,1523677.0,29802.0,
564059456,96842,2022-12-11T18:27:08.602Z,2022-12-11T18:27:14.138Z,2022-12-11T17:26:25.394Z,2022-12-11T17:53:45.389Z,-06:00,0,SCORED,11.436,158.0,183.0,1529.4299,100.0,0.0,0.0,0.0,0.0,27916.0,11536.0,528721.0,1040139.0,31722.0,
563622707,96842,2022-12-11T00:07:20.936Z,2022-12-11T00:07:26.552Z,2022-12-10T23:00:05.867Z,2022-12-10T23:32:50.784Z,-06:00,-1,SCORED,8.974,138.0,173.0,1271.8324,100.0,0.0,0.0,0.0,77905.0,78827.0,561405.0,834415.0,412404.0,0.0,
